料品,品名,库位,批号,出,入
107008-10,(单面）宫粥珍珠米10,3A01,200928010,0.0,3199.0
107008-10,(单面）宫粥珍珠米10,3AP1,200928010,0.0,499.0
107008-10,(单面）宫粥珍珠米10,3AP1,201001011,951.0,0.0
107008-10,(单面）宫粥珍珠米10,3AP1,201001012,2750.0,0.0
107008-10,(单面）宫粥珍珠米10,4AH1,200928010,0.0,3.0
101312-10,(禾美)靓虾王香软米10,4A02,201110003,4.0,0.0
101312-10,(禾美)靓虾王香软米10,4AH2,201110003,0.0,4.0
101312-85,(禾美)靓虾王香软米2.5*10,3A07,201108001,70.0,0.0
101312-85,(禾美)靓虾王香软米2.5*10,4AP1,201108001,0.0,70.0
101401-10,(紫色)米皇坊小农粘米10,4AH2,201031032,0.0,24.0
101401-10,(紫色)米皇坊小农粘米10,4AH2,201111005,0.0,30.0
101401-10,(紫色)米皇坊小农粘米10,4BH0,201031032,54.0,0.0
100601-31,(红色）新米红曼哈浓香泰国茉莉香米1*20,3A00,201008011,4.0,0.0
100601-31,(红色）新米红曼哈浓香泰国茉莉香米1*20,3A09,201103010,14.0,0.0
100601-31,(红色）新米红曼哈浓香泰国茉莉香米1*20,3AP1,201112010,7.0,0.0
100601-31,(红色）新米红曼哈浓香泰国茉莉香米1*20,4AH1,201103010,0.0,22.0
100601-31,(红色）新米红曼哈浓香泰国茉莉香米1*20,4AH1,201112010,0.0,3.0
100601-10,(红色）新米红曼哈浓香泰国茉莉香米10,4A01,201111003,43.0,0.0
100601-10,(红色）新米红曼哈浓香泰国茉莉香米10,4AH2,201011012,0.0,3.0
100601-10,(红色）新米红曼哈浓香泰国茉莉香米10,4AH2,201027034,3.0,0.0
100601-10,(红色）新米红曼哈浓香泰国茉莉香米10,4AH2,201111003,0.0,43.0
100601-25,(红色）新米红曼哈浓香泰国茉莉香米25,4A01,201111003,35.0,0.0
100601-25,(红色）新米红曼哈浓香泰国茉莉香米25,4AH4,201111003,0.0,37.0
100601-25,(红色）新米红曼哈浓香泰国茉莉香米25,4BH0,201029056,2.0,0.0
100601-35,(红色）新米红曼哈浓香泰国茉莉香米5*5,4A00,201022023,0.0,27.0
100601-35,(红色）新米红曼哈浓香泰国茉莉香米5*5,4A00,201024003,0.0,1.0
100601-35,(红色）新米红曼哈浓香泰国茉莉香米5*5,4A00,201029056,0.0,7.0
100601-35,(红色）新米红曼哈浓香泰国茉莉香米5*5,4A00,201111003,27.0,0.0
100601-35,(红色）新米红曼哈浓香泰国茉莉香米5*5,4BH0,201029056,8.0,0.0
170151-36,东北长粒米（稻花香2号）5*6,4A00,201113012,0.0,45.0
170151-36,东北长粒米（稻花香2号）5*6,糙米线库位,201113012,45.0,0.0
105801-25,为食猫牙米25,3A08,201105009,39.0,0.0
105801-25,为食猫牙米25,4A08,201031038,0.0,38.0
105801-25,为食猫牙米25,4A08,201111004,0.0,10.0
105801-25,为食猫牙米25,4AH5,201031038,0.0,40.0
105801-25,为食猫牙米25,4BH0,201031038,49.0,0.0
105801-35,为食猫牙米5*5,3A07,201024018,35.0,0.0
105801-35,为食猫牙米5*5,4A00,201024018,0.0,8.0
105801-35,为食猫牙米5*5,4AH1,201024018,0.0,27.0
103909-15,今西利哈旺油粘米15,4A01,201110004,0.0,14.0
103909-15,今西利哈旺油粘米15,4A05,201110004,14.0,0.0
103912-10,今西利富客酒店米10,4BH0,201106009,0.0,19.0
103912-10,今西利富客酒店米10,4BH0,201113005,19.0,0.0
103912-15,今西利富客酒店米15,4AH3,201024008,0.0,9.0
103912-15,今西利富客酒店米15,4AH3,201028035,79.0,0.0
103912-15,今西利富客酒店米15,4AH4,201028035,0.0,70.0
103912-25,今西利富客酒店米25,4A04,201029042,0.0,9.0
103912-25,今西利富客酒店米25,4A04,201106009,0.0,30.0
103912-25,今西利富客酒店米25,4A08,201106009,39.0,0.0
103907-10,华稻农臻选油粘米10,4A02,201106003,24.0,0.0
103907-10,华稻农臻选油粘米10,4A07,201106003,0.0,104.0
103907-10,华稻农臻选油粘米10,4B01,201106003,80.0,0.0
103907-35,华稻农臻选油粘米5*5,3A07,201013024,24.0,0.0
103907-35,华稻农臻选油粘米5*5,4AP4,201013024,0.0,24.0
101502-15,咪姥臻品小农粘15,4A09,201106009,55.0,0.0
101502-15,咪姥臻品小农粘15,4AH3,201106009,0.0,55.0
101503-15,咪姥葆健油粘15,4A04,200930050,17.0,0.0
101503-15,咪姥葆健油粘15,4A04,201104002,0.0,61.0
101503-15,咪姥葆健油粘15,4A04,201109007,201.0,0.0
101503-15,咪姥葆健油粘15,4AH3,201104002,44.0,0.0
101503-15,咪姥葆健油粘15,4AH3,201109007,0.0,201.0
103901-10,商道太粮靓米皇10,3A09,201103006,40.0,0.0
103901-10,商道太粮靓米皇10,4AH2,201103006,0.0,40.0
160205-40,喜之粮水阁长粒香米10*2,3A00,201109005,30.0,0.0
160205-40,喜之粮水阁长粒香米10*2,3A08,201023042,16.0,0.0
160205-40,喜之粮水阁长粒香米10*2,3A09,201023042,0.0,16.0
160205-40,喜之粮水阁长粒香米10*2,3AP1,201109005,0.0,30.0
160204-10,喜之粮湖蟹卧田米10,3AP1,200907032-01,0.0,1.0
160204-10,喜之粮湖蟹卧田米10,4AH0,200907032-01,1.0,0.0
160204-40,喜之粮湖蟹卧田米10*2,3A03,201109006,115.0,0.0
160204-40,喜之粮湖蟹卧田米10*2,3A09,201109006,0.0,90.0
160204-40,喜之粮湖蟹卧田米10*2,3AP1,201109006,0.0,25.0
160204-10,喜之粮湖蟹卧田米5*5,4A00,201112013,0.0,128.0
160204-35,喜之粮湖蟹卧田米5*5,糙米线库位,201112013,128.0,0.0
170103-10,天优岭南（丝苗）大米10,4A03,201107003,3.0,0.0
170103-10,天优岭南（丝苗）大米10,4AH2,201107003,0.0,3.0
107004-47,太粮小香童粥米0.75,4AH0,200521010,39.0,0.0
107004-47,太粮小香童粥米0.75,4AH0,200819020,0.0,39.0
105803-10,太粮巴吞香米10,4A05,201112008,0.0,11.0
105803-10,太粮巴吞香米10,4A05,201113004,0.0,20.0
105803-10,太粮巴吞香米10,4AP6,201113004,56.0,0.0
105803-10,太粮巴吞香米10,4B01,201110002,0.0,320.0
105803-10,太粮巴吞香米10,4B01,201112008,295.0,0.0
100101-25,太粮王泰国茉莉香米25,4AH4,200917050,0.0,10.0
100101-25,太粮王泰国茉莉香米25,4AH5,200917050,10.0,0.0
105809-05,太粮稻香粘5,4BH0,200922011,55.0,0.0
105809-05,太粮稻香粘5,4BH2,200922011,0.0,55.0
107006-10,太粮良谷纪臻选东北大米10,3A01,201106012,335.0,0.0
107006-10,太粮良谷纪臻选东北大米10,4A03,201103004,0.0,335.0
107006-05,太粮良谷纪臻选东北大米5,4AH0,200926017,0.0,2.0
107006-05,太粮良谷纪臻选东北大米5,4AH0,201022033,2.0,0.0
107006-35,太粮良谷纪臻选东北大米5*5,3AP1,201106012,18.0,0.0
107006-35,太粮良谷纪臻选东北大米5*5,4AH1,201106012,0.0,18.0
101301-75,太粮靓虾王香软米0.5*50,3A09,201017027,9.0,0.0
101301-75,太粮靓虾王香软米0.5*50,4AH1,200926014,0.0,9.0
101301-31,太粮靓虾王香软米1*25,3A09,201110007,21.0,0.0
101301-31,太粮靓虾王香软米1*25,4AH1,201110007,0.0,21.0
101301-10,太粮靓虾王香软米10,4A00,201104006,0.0,2886.0
101301-10,太粮靓虾王香软米10,4A00,201111005,55.0,0.0
101301-10,太粮靓虾王香软米10,4A02,201107005,0.0,17.0
101301-10,太粮靓虾王香软米10,4A02,201114005,844.0,0.0
101301-10,太粮靓虾王香软米10,4A05,201111005,1149.0,0.0
101301-10,太粮靓虾王香软米10,4A06,201104006,0.0,14.0
101301-10,太粮靓虾王香软米10,4A06,201106004,0.0,1326.0
101301-10,太粮靓虾王香软米10,4AP6,201107005,0.0,1769.0
101301-10,太粮靓虾王香软米10,4AP6,201114005,0.0,20.0
101301-10,太粮靓虾王香软米10,4B02,201106004,1782.0,0.0
101301-10,太粮靓虾王香软米10,4B02,201114005,2202.0,0.0
101301-15,太粮靓虾王香软米15,4A01,201105008,0.0,361.0
101301-15,太粮靓虾王香软米15,4A01,201111005,392.0,0.0
101301-15,太粮靓虾王香软米15,4B01,201111005,0.0,31.0
101301-32,太粮靓虾王香软米2*10,3A09,201031042,3.0,0.0
101301-32,太粮靓虾王香软米2*10,4AP1,201031042,0.0,3.0
101301-85,太粮靓虾王香软米2.5*10,3A08,201110007,31.0,0.0
101301-85,太粮靓虾王香软米2.5*10,4A00,201110007,6.0,0.0
101301-85,太粮靓虾王香软米2.5*10,4AB3,201110007,0.0,37.0
101301-25,太粮靓虾王香软米25,4A01,201110006,234.0,0.0
101301-25,太粮靓虾王香软米25,4A01,201111005,6.0,0.0
101301-25,太粮靓虾王香软米25,4A04,201030037,0.0,200.0
101301-25,太粮靓虾王香软米25,4B03,201028036,0.0,40.0
101301-05,太粮靓虾王香软米5,4AH0,201104006,0.0,1.0
101301-05,太粮靓虾王香软米5,4AH0,201105008,1.0,0.0
101301-35,太粮靓虾王香软米5*5,4A00,201107005,0.0,209.0
101301-35,太粮靓虾王香软米5*5,4B02,201107005,199.0,0.0
101301-35,太粮靓虾王香软米5*5,4B03,201104006,0.0,27.0
101301-35,太粮靓虾王香软米5*5,4B03,201107005,37.0,0.0
101301-08,太粮靓虾王香软米8,4A01,201110006,115.0,0.0
101301-08,太粮靓虾王香软米8,4A03,201110006,0.0,115.0
101310-10,太粮靓虾王（晶品）香软米10,3A01,201030044,30.0,0.0
101310-10,太粮靓虾王（晶品）香软米10,4AH2,201030044,0.0,30.0
101310-32,太粮靓虾王（晶品）香软米2*10,3A07,201030044,15.0,0.0
101310-32,太粮靓虾王（晶品）香软米2*10,4AP1,201030044,0.0,15.0
101310-35,太粮靓虾王（晶品）香软米5*5,3A09,201030044,13.0,0.0
101310-35,太粮靓虾王（晶品）香软米5*5,4A00,201030044,0.0,13.0
103908-10,太粮马霸优粘10,4A07,201024007,5.0,0.0
103908-10,太粮马霸优粘10,4AH2,201024007,0.0,5.0
107002-05,宫粥(稻花香)米5,4A00,200927010,2.0,0.0
107002-05,宫粥(稻花香)米5,4AH0,200916018,0.0,2.0
107002-35,宫粥(稻花香)米5*5,4A00,200927010,0.0,48.0
107002-35,宫粥(稻花香)米5*5,4A00,200929017,45.0,0.0
107002-35,宫粥(稻花香)米5*5,4A00,201106014,0.0,48.0
107002-35,宫粥(稻花香)米5*5,糙米线库位,200927010,3.0,0.0
107002-35,宫粥(稻花香)米5*5,糙米线库位,201106014,48.0,0.0
107001-10,宫粥东北大米10,3AP1,201109005,68.0,0.0
107001-10,宫粥东北大米10,4AH2,201106015,0.0,32.0
107001-10,宫粥东北大米10,4AH2,201109005,0.0,178.0
107001-10,宫粥东北大米10,糙米线库位,201106015,142.0,0.0
107001-32,宫粥东北大米2*10,3A09,201019002,3.0,0.0
107001-32,宫粥东北大米2*10,3A09,201030045,38.0,0.0
107001-32,宫粥东北大米2*10,4AP2,201030045,0.0,41.0
107001-25,宫粥东北大米25,4AH5,201103014,0.0,46.0
107001-25,宫粥东北大米25,4AH5,201113011,0.0,40.0
107001-25,宫粥东北大米25,糙米线库位,201103014,46.0,0.0
107001-25,宫粥东北大米25,糙米线库位,201113011,40.0,0.0
107001-35,宫粥东北大米5*5,4A00,201106015,0.0,338.0
107001-35,宫粥东北大米5*5,糙米线库位,201106015,338.0,0.0
107011-55,宫粥（御泽）贡香米2.5,4A00,200808015-01,0.0,2.0
107011-55,宫粥（御泽）贡香米2.5,4AH0,200808015-01,2.0,0.0
107011-85,宫粥（御泽）贡香米2.5*10,3AP1,201023043,20.0,0.0
107011-85,宫粥（御泽）贡香米2.5*10,4AP1,201023043,0.0,20.0
107011-35,宫粥（御泽）贡香米5*5,3A00,201113006,35.0,0.0
107011-35,宫粥（御泽）贡香米5*5,3AP1,201113006,0.0,35.0
103903-10,富贵玲珑小农粘米10,4A07,201023025,0.0,39.0
103903-10,富贵玲珑小农粘米10,4A07,201105003,30.0,0.0
103903-10,富贵玲珑小农粘米10,4BH0,201103007,9.0,0.0
103903-25,富贵玲珑小农粘米25,4A08,201103007,15.0,0.0
103903-25,富贵玲珑小农粘米25,4AH4,201103007,0.0,15.0
103903-25,富贵玲珑小农粘米25,4B01,201101001,35.0,0.0
103903-25,富贵玲珑小农粘米25,4BH0,201101001,0.0,35.0
