料品,品名,库位,批号,出,入
107008-10,(单面）宫粥珍珠米10,3A01,200928010,0.0,3199.0
107008-10,(单面）宫粥珍珠米10,3AP1,200928010,0.0,499.0
107008-10,(单面）宫粥珍珠米10,4AH1,200928010,0.0,3.0
107008-10,(单面）宫粥珍珠米10,3AP1,201001011,951.0,0.0
107008-10,(单面）宫粥珍珠米10,3AP1,201001012,2750.0,0.0
101401-10,(紫色)米皇坊小农粘米10,4BH0,201031032,30.0,0.0
101401-10,(紫色)米皇坊小农粘米10,4AH2,201111005,0.0,30.0
100601-31,(红色）新米红曼哈浓香泰国茉莉香米1*20,3A00,201008011,4.0,0.0
100601-31,(红色）新米红曼哈浓香泰国茉莉香米1*20,4AH1,201103010,0.0,8.0
100601-31,(红色）新米红曼哈浓香泰国茉莉香米1*20,3AP1,201112010,4.0,0.0
100601-10,(红色）新米红曼哈浓香泰国茉莉香米10,4AH2,201011012,0.0,3.0
100601-10,(红色）新米红曼哈浓香泰国茉莉香米10,4AH2,201027034,3.0,0.0
100601-25,(红色）新米红曼哈浓香泰国茉莉香米25,4BH0,201029056,2.0,0.0
100601-25,(红色）新米红曼哈浓香泰国茉莉香米25,4AH4,201111003,0.0,2.0
100601-35,(红色）新米红曼哈浓香泰国茉莉香米5*5,4A00,201022023,0.0,27.0
100601-35,(红色）新米红曼哈浓香泰国茉莉香米5*5,4A00,201024003,0.0,1.0
100601-35,(红色）新米红曼哈浓香泰国茉莉香米5*5,4BH0,201029056,1.0,0.0
100601-35,(红色）新米红曼哈浓香泰国茉莉香米5*5,4A00,201111003,27.0,0.0
105801-25,为食猫牙米25,4AH5,201031038,0.0,29.0
105801-25,为食猫牙米25,3A08,201105009,39.0,0.0
105801-25,为食猫牙米25,4A08,201111004,0.0,10.0
103912-10,今西利富客酒店米10,4BH0,201106009,0.0,19.0
103912-10,今西利富客酒店米10,4BH0,201113005,19.0,0.0
103912-15,今西利富客酒店米15,4AH3,201024008,0.0,9.0
103912-15,今西利富客酒店米15,4AH3,201028035,9.0,0.0
103912-25,今西利富客酒店米25,4A04,201029042,0.0,9.0
103912-25,今西利富客酒店米25,4A08,201106009,9.0,0.0
101503-15,咪姥葆健油粘15,4A04,200930050,17.0,0.0
101503-15,咪姥葆健油粘15,4A04,201104002,0.0,17.0
107004-47,太粮小香童粥米0.75,4AH0,200521010,39.0,0.0
107004-47,太粮小香童粥米0.75,4AH0,200819020,0.0,39.0
105803-10,太粮巴吞香米10,4B01,201110002,0.0,320.0
105803-10,太粮巴吞香米10,4B01,201112008,284.0,0.0
105803-10,太粮巴吞香米10,4AP6,201113004,36.0,0.0
107006-10,太粮良谷纪臻选东北大米10,4A03,201103004,0.0,335.0
107006-10,太粮良谷纪臻选东北大米10,3A01,201106012,335.0,0.0
107006-05,太粮良谷纪臻选东北大米5,4AH0,200926017,0.0,2.0
107006-05,太粮良谷纪臻选东北大米5,4AH0,201022033,2.0,0.0
101301-75,太粮靓虾王香软米0.5*50,4AH1,200926014,0.0,9.0
101301-75,太粮靓虾王香软米0.5*50,3A09,201017027,9.0,0.0
101301-10,太粮靓虾王香软米10,4A00,201104006,0.0,2886.0
101301-10,太粮靓虾王香软米10,4A06,201104006,0.0,14.0
101301-10,太粮靓虾王香软米10,4B02,201106004,456.0,0.0
101301-10,太粮靓虾王香软米10,4A02,201107005,0.0,17.0
101301-10,太粮靓虾王香软米10,4AP6,201107005,0.0,1769.0
101301-10,太粮靓虾王香软米10,4A00,201111005,55.0,0.0
101301-10,太粮靓虾王香软米10,4A05,201111005,1149.0,0.0
101301-10,太粮靓虾王香软米10,4A02,201114005,844.0,0.0
101301-10,太粮靓虾王香软米10,4B02,201114005,2182.0,0.0
101301-15,太粮靓虾王香软米15,4A01,201105008,0.0,361.0
101301-15,太粮靓虾王香软米15,4A01,201111005,361.0,0.0
101301-25,太粮靓虾王香软米25,4B03,201028036,0.0,40.0
101301-25,太粮靓虾王香软米25,4A04,201030037,0.0,200.0
101301-25,太粮靓虾王香软米25,4A01,201110006,234.0,0.0
101301-25,太粮靓虾王香软米25,4A01,201111005,6.0,0.0
101301-05,太粮靓虾王香软米5,4AH0,201104006,0.0,1.0
101301-05,太粮靓虾王香软米5,4AH0,201105008,1.0,0.0
101301-35,太粮靓虾王香软米5*5,4B03,201104006,0.0,27.0
101301-35,太粮靓虾王香软米5*5,4B03,201107005,27.0,0.0
101310-35,太粮靓虾王（晶品）香软米5*5,4A00,201030044,0.0,13.0
101310-35,太粮靓虾王（晶品）香软米5*5,3A09,201030044,13.0,0.0
107002-05,宫粥(稻花香)米5,4AH0,200916018,0.0,2.0
107002-05,宫粥(稻花香)米5,4A00,200927010,2.0,0.0
107002-35,宫粥(稻花香)米5*5,4A00,200927010,0.0,45.0
107002-35,宫粥(稻花香)米5*5,4A00,200929017,45.0,0.0
107001-10,宫粥东北大米10,糙米线库位,201106015,110.0,0.0
107001-10,宫粥东北大米10,4AH2,201109005,0.0,110.0
107001-32,宫粥东北大米2*10,3A09,201019002,3.0,0.0
107001-32,宫粥东北大米2*10,4AP2,201030045,0.0,3.0
103903-10,富贵玲珑小农粘米10,4A07,201023025,0.0,39.0
103903-10,富贵玲珑小农粘米10,4BH0,201103007,9.0,0.0
103903-10,富贵玲珑小农粘米10,4A07,201105003,30.0,0.0
160102-10,帝皇鹰喜之粮米10,3A06,200923084,0.0,2417.0
160102-10,帝皇鹰喜之粮米10,3AP8,200923084,0.0,361.0
160102-10,帝皇鹰喜之粮米10,4A01,200924093,300.0,0.0
160102-10,帝皇鹰喜之粮米10,3A02,200924103,2518.0,0.0
160102-10,帝皇鹰喜之粮米10,4AP6,201018023,0.0,140.0
160102-10,帝皇鹰喜之粮米10,4A00,201020021,100.0,0.0
160102-15,帝皇鹰喜之粮米15,4AH3,201024005,0.0,11.0
160102-15,帝皇鹰喜之粮米15,4A09,201029039,11.0,0.0
160102-25,帝皇鹰喜之粮米25,4B01,201028039,51.0,0.0
160102-25,帝皇鹰喜之粮米25,4B01,201104005,0.0,280.0
160102-25,帝皇鹰喜之粮米25,4AP5,201105012,86.0,0.0
160102-25,帝皇鹰喜之粮米25,4A06,201109001,143.0,0.0
160101-10,帝皇鹰米满香米10,3A03,201012076,0.0,81.0
160101-10,帝皇鹰米满香米10,4A07,201012076,0.0,99.0
160101-10,帝皇鹰米满香米10,4A03,201018023,33.0,0.0
160101-10,帝皇鹰米满香米10,4A07,201018023,46.0,0.0
160101-10,帝皇鹰米满香米10,3A02,201023095,101.0,0.0
105806-35,御泰坊茉莉香米5*5,4AP4,201011042,0.0,82.0
105806-35,御泰坊茉莉香米5*5,3A09,201015024,0.0,32.0
105806-35,御泰坊茉莉香米5*5,3A09,201016023,0.0,200.0
105806-35,御泰坊茉莉香米5*5,3A04,201017052,12.0,0.0
105806-35,御泰坊茉莉香米5*5,3A04,201017054,0.0,425.0
105806-35,御泰坊茉莉香米5*5,3A02,201026034,727.0,0.0
100604-10,曼哈浓香德莉进口香米10,4A07,201030036,0.0,78.0
100604-10,曼哈浓香德莉进口香米10,4A03,201104009,78.0,0.0
100604-35,曼哈浓香德莉进口香米5*5,3B02,201024022,0.0,324.0
100604-35,曼哈浓香德莉进口香米5*5,3A08,201103010,324.0,0.0
100606-35,曼哈浓香泰粮王府香米5*5,4A00,201011013,7.0,0.0
100606-35,曼哈浓香泰粮王府香米5*5,4B03,201021022,0.0,7.0
100607-10,曼哈浓香精选小茉莉香米10,3AP1,201023094,0.0,397.0
100607-10,曼哈浓香精选小茉莉香米10,4B01,201029039,111.0,0.0
100607-10,曼哈浓香精选小茉莉香米10,4A02,201106003,286.0,0.0
100607-35,曼哈浓香精选小茉莉香米5*5,4A01,201020076,0.0,424.0
100607-35,曼哈浓香精选小茉莉香米5*5,4A03,201025047,178.0,0.0
100607-35,曼哈浓香精选小茉莉香米5*5,3A00,201110009,6.0,0.0
100607-35,曼哈浓香精选小茉莉香米5*5,3A08,201110009,240.0,0.0
100501-35,柬埔寨茉莉香米5*5,4A09,201105014,0.0,16.0
100501-35,柬埔寨茉莉香米5*5,3A03,201105014,0.0,166.0
100501-35,柬埔寨茉莉香米5*5,3A08,201105014,0.0,40.0
100501-35,柬埔寨茉莉香米5*5,3A03,201112010,135.0,0.0
100501-35,柬埔寨茉莉香米5*5,3A08,201112010,87.0,0.0
105812-35,泰粮香米5*5,3A09,201031043,0.0,189.0
105812-35,泰粮香米5*5,3A02,201107008,0.0,23.0
105812-35,泰粮香米5*5,3A04,201107008,0.0,636.0
105812-35,泰粮香米5*5,3A09,201107008,0.0,9.0
105812-35,泰粮香米5*5,糙米线库位,201109003,857.0,0.0
105804-25,洋洋开心孙仙桃香米25,4AH4,201029039,0.0,2.0
105804-25,洋洋开心孙仙桃香米25,4A01,201103001,2.0,0.0
103910-15,稻虾软米15,4B01,201110005,7.0,0.0
103910-15,稻虾软米15,4B01,201110007,0.0,639.0
103910-15,稻虾软米15,4A04,201111007,340.0,0.0
103910-15,稻虾软米15,4B01,201111007,447.0,0.0
103910-15,稻虾软米15,4A03,201111037,0.0,155.0
101402-74,米皇坊小农粘米0.4*50,3A00,200929013,0.0,14.0
101402-74,米皇坊小农粘米0.4*50,3A04,201026032,14.0,0.0
101402-10,米皇坊小农粘米10,4B01,201030034,15.0,0.0
101402-10,米皇坊小农粘米10,4A06,201105010,5.0,0.0
101402-10,米皇坊小农粘米10,4A05,201114003,0.0,20.0
101402-55,米皇坊小农粘米2.5,4AH0,200929013,0.0,5.0
101402-55,米皇坊小农粘米2.5,4AH0,201023035-01,5.0,0.0
101402-34,米皇坊小农粘米4*6,4AH1,201024021,0.0,14.0
101402-34,米皇坊小农粘米4*6,3A09,201106001,14.0,0.0
101403-10,米皇坊桂尊香软米10,4B01,201030034,6.0,0.0
101403-10,米皇坊桂尊香软米10,4AH2,201105010,0.0,6.0
101403-35,米皇坊桂尊香软米5*5,4A00,201027030,0.0,2.0
101403-35,米皇坊桂尊香软米5*5,4A00,201105010,2.0,0.0
101420-10,米皇坊珍珠香米10,4A07,200917011,0.0,70.0
101420-10,米皇坊珍珠香米10,4AH2,201019005,18.0,0.0
101420-10,米皇坊珍珠香米10,4AP6,201030038,52.0,0.0
101405-15,米皇坊马坝银粘15,4B02,201030031,65.0,0.0
101405-15,米皇坊马坝银粘15,4A08,201105006,0.0,65.0
180112-44,红小豆0.4,4AH0,200512060,7.0,0.0
180112-44,红小豆0.4,4AH0,200617033,0.0,1.0
180112-44,红小豆0.4,4AH0,200908089,0.0,7.0
180112-44,红小豆0.4,4AH0,200908089-01,1.0,0.0
180111-44,绿豆0.4,4B04,200512058-05,10.0,0.0
180111-44,绿豆0.4,4A00,200908088-02,0.0,10.0
101311-10,荟京选靓虾王米10,4A07,201023031,0.0,2.0
101311-10,荟京选靓虾王米10,4AP5,201026030,2.0,0.0
101104-01,金太粮有机米1,4AH0,200805054,0.0,1.0
101104-01,金太粮有机米1,4AH0,200912046,1.0,0.0
101104-55,金太粮有机米2.5,4AH0,200922044,0.0,1.0
101104-55,金太粮有机米2.5,4AH0,200929107,1.0,0.0
101104-85,金太粮有机米2.5*5,4A00,200929107,0.0,40.0
101104-85,金太粮有机米2.5*5,4A00,201019103,40.0,0.0
101101-05,金太粮油粘王5,4AP2,200926015,1.0,0.0
101101-05,金太粮油粘王5,4AH0,200929014-03,0.0,1.0
101101-35,金太粮油粘王5*5,4AP1,201024016,0.0,28.0
101101-35,金太粮油粘王5*5,3A00,201113008,28.0,0.0
104101-31,金稻鱼太粮家乐米1*25,4AH1,201024015,0.0,2.0
104101-31,金稻鱼太粮家乐米1*25,3A01,201111014,1.0,0.0
104101-31,金稻鱼太粮家乐米1*25,3A03,201111014,1.0,0.0
104101-10,金稻鱼太粮家乐米10,4A07,201013017,0.0,16.0
104101-10,金稻鱼太粮家乐米10,4A07,201028037,0.0,100.0
104101-10,金稻鱼太粮家乐米10,4A07,201031037,116.0,0.0
104101-25,金稻鱼太粮家乐米25,4AH5,201006008,0.0,98.0
104101-25,金稻鱼太粮家乐米25,4A02,201017023,98.0,0.0
105808-10,餐乐香米10,3A09,201009010,8.0,0.0
105808-10,餐乐香米10,4AH2,201030040,0.0,8.0
105808-25,餐乐香米25,4A00,201106011,0.0,281.0
105808-25,餐乐香米25,4B01,201106011,0.0,25.0
105808-25,餐乐香米25,4A01,201111002,306.0,0.0
107003-10,香雪珍珠米10,4AH2,201026027,0.0,31.0
