库位,料品,品名,批号,可用数量,冻结数量,总数量
3A00,100502-35,（橙色）柬埔寨茉莉香米5*5,200617002,390,0,390
3A00,101301-31,太粮靓虾王香软米1*25,200813007,79,0,79
3A00,101301-85,太粮靓虾王香软米2.5*10,200813007,86,0,86
3A00,101306-44,（红香）靓虾王米0.4,200418012,7,0,7
3A00,101310-32,太粮靓虾王（晶品）香软米2*10,200605009,75,0,75
3A00,104101-31,金稻鱼太粮家乐米1*25,200813008,106,0,106
3A00,105806-35,御泰坊茉莉香米5*5,200820010,320,0,320
3A00,107010-35,宫粥（凤鸣）贡香米5*5,200812020,42,0,42
3A00,150101-35,鸣象（尊桂）油粘米5*5,200819025,398,0,398
3A00,150103-35,鸣象富桂银粘米5*5,200812007,34,0,34
3A00,170101-40,正大臻选油粘米10*3,200731006,9,0,9
3A01,100605-85,曼哈浓香莲花香米2.5*10,200816001,67,0,67
3A01,101101-32,金太粮油粘王2*10,200612007,52,0,52
3A01,101201-15,马坝龙五星油粘米15,200817019,62,0,62
3A01,101402-85,米皇坊小农粘米2.5*10,200813009,8,0,8
3A01,101406-35,米皇坊山水丝苗米5*5,200814005,59,0,59
3A01,104101-75,金稻鱼太粮家乐米0.5*50,200722007,2,0,2
3A01,104101-75,金稻鱼太粮家乐米0.5*50,200722021,18,0,18
3A01,104101-85,金稻鱼太粮家乐米2.5*10,200813008,90,0,90
3A01,105801-25,为食猫牙米25,200808010,4,0,4
3A01,105806-35,御泰坊茉莉香米5*5,200819009,28,0,28
3A01,107003-25,香雪珍珠米25,200812022,578,0,578
3A01,107006-35,太粮良谷纪臻选东北大米5*5,200813028,12,0,12
3A01,107007-10,良谷纪（长粒香）米10,200819020,199,0,199
3A01,150103-35,鸣象富桂银粘米5*5,200818010,120,0,120
3A02,100605-34,曼哈浓香莲花香米4*6,200816001,73,0,73
3A02,100607-35,曼哈浓香精选小茉莉香米5*5,200817001,134,0,134
3A02,105813-34,稻虾贡米4*6,200819041,774,0,774
3A02,107001-35,宫粥东北大米5*5,200819020,274,0,274
3A04,100501-35,柬埔寨茉莉香米5*5,200814006,500,0,500
3A04,100604-35,曼哈浓香德莉进口香米5*5,200804009,1088,0,1088
3A04,101406-85,米皇坊山水丝苗米2.5*10,200814005,4,0,4
3A04,101420-10,米皇坊珍珠香米10,200812021,306,0,306
3A04,150101-35,鸣象（尊桂）油粘米5*5,200818010,555,0,555
3A04,170110-31,金稻鱼惠品太粮家乐米1*25,200630001,791,0,791
3A05,100501-35,柬埔寨茉莉香米5*5,200814006,324,0,324
